Rank,Name,Location,DetailUrl,Website,Description,Price_Tier
28,Lasai,Rio de Janeiro,https://www.theworlds50best.com/the-list/lasai.html,https://lasai.com.br/,"Carrying the flag: With exceptional, vegetable-led dishes from chef Rafael Costa e Silva and warm, welcoming hospitality led by his wife, Malena Cardiel, Lasai has all the ingredients of a standout restaurant. It has featured in Latin America’s 50 Best Restaurants every year since its opening a decade ago and achieved the accolade of The Best Restaurant in Brazil 2024. In 2025, it makes its long-awaited debut on The World’s 50 Best Restaurants list. Counter intuitive: In 2022, Lasai moved from its former home in a colonial townhouse in the Botafogo neighbourhood to a much smaller spot just around the corner. It now serves just 10 people around a single, L-shaped chef’s counter, offering a much more intimate experience, with every guest sitting right in front of Costa and his team. On the menu: Fed by two gardens – one in Itahnangá in the city, the other a few hours’ drive away in Rio de Janeiro state – Lasai’s 15-course tasting menu centres around the best seasonal, mostly organic produce, coupled with the freshest local seafood and protein. That might mean chayote squash with romanesco broccoli, borage and juicy scallops, or palm heart with cashew nuts, enoki and king oyster mushrooms and sweet potato leaf. Plating is pared back (in keeping with the room) but stunningly executed. Before each course, guests are shown the fresh produce in the dish and encouraged to smell, touch and taste the raw ingredients.",4
29,Mingles,Seoul,https://www.theworlds50best.com/the-list/mingles.html,http://www.restaurant-mingles.com/,"Why it’s worth a visit: Since opening in April 2014 in Seoul’s buzzy Cheongdam-dong district, Mingles has impressed local and international diners with refined Korean cookery that weaves together inspiration from Hong Kong and Europe. It is the perfect place to explore unsung local ingredients, from acorn jelly to bellflower root. In the kitchen: Korean chef Mingoo Kang trained under Martin Berasategui in San Sebastian, Spain, before stints at Nobu in Miami and The Bahamas, where he took learnings that he would later apply to Korean food back on home turf. Man on a mission: Kang and the Mingles team are on a mission to show ‘a new way of Korean cuisine’ that is driven by in-season local fish, meat and vegetables enlivened by traditional Korean fermented sauces and vinegars. At the start of the meal, guests are presented with an abundant display of produce to fully appreciate the diversity and freshness of the ingredients being used to create the 10-course tasting menu. Standouts include hanwoo, a Korean barbecue dish using high-grade beef with Jerusalem artichoke, and the signature ‘mingling pot’, which simmers morel and cabbage ssam with beef tendon and tender abalone.",4
30,Le Du,Bangkok,https://www.theworlds50best.com/the-list/le-du.html,https://www.ledubkk.com/,"Global acclaim: Since 2013, chef and co-owner Thitid ‘Ton’ Tassanakajohn has been on a mission advocating Thai cuisine to the world through his dishes at Le Du, his various other restaurants and via chef collaborations. After studying at the prestigious Culinary Institute of America and staging at some of the very best restaurants in New York including Jean-Georges and Eleven Madison Park, Tassanakajohn returned to Bangkok with a clear vision to present refined Thai ingredients with a modern edge. Menu for the curious: Le Du loosely translates to ‘seasons’ in Thai and the food follows that flow in a contemporary tasting menu highlighting the array of techniques Chef Ton has picked up throughout his career, paired with the in-season ingredients. On the four or six course tasting menus, expect dishes such as the popular rendition of khao chae, a Thai summer staple, which is reimagined with a creamy jasmine-scented ice cream paired with pork paté, shrimp and pickled radish; or delve a little deeper into the seasons with the tender grouper paired with prized ant eggs. New and improved: The decade-old space has recently been renovated with a striking fixture that sees thousands of glass tubes filled with curated Thai seasonings suspended in curves and integrated with luminous lighting fixtures. The herbs, plants and spices are designed to emanate the changing seasons in rice plantation landscapes with fiery red chillies representing the hot season and verdant green leaves mirroring the rainy season.",4
31,Le Calandre,Rubano,https://www.theworlds50best.com/the-list/le-calandre.html,https://alajmo.it/en/pages/homepage-le-calandre,"Taste of history: To dine at Le Calandre is to take a bite out of Italian culinary history. Chef Massimiliano and maître d’ Raffaele Alajmo – brothers Max and Raf – took over their parents’restaurant in 1994, and over the last three decades, have not only turned it into an icon of gastronomic innovation, but also into the cornerstone of the Alajmo Group, which now includes 12 restaurants across three countries. Devil’s in the details: The multi-sensory experience begins with the design. In the sleek, dimly lit dining room, tables are carved from a single 300-year-old ash tree. Each becomes a stage for the performance to come, spotlighted by sculptural lamps by designer Davide Groppi. There are no tablecloths here: the table itself is Massimiliano’s canvas, and even the striking, hand-blown water glasses are marked with the chef’s own fingerprint. Art on the plate: Massimiliano’s tireless creativity means the three tasting menus are constantly shifting, with inspiration coming from seasonal produce, his passion for art and a child-like curiosity. The innovative Cuttlefish Cappuccino, first created in the late 1990s, has been reinvented as Cappuccino Murrina, a tribute to Venice’s glass-blowing heritage in the form of potato and chive cream with cuttlefish and sea urchin, finished with vibrantly red beetroot and deeply green spirulina. In its 2.0 version, Risotto Passi d’Oro is a homage to Roberto Barni’s sculpture at the Uffizi in Florence, with its golden hue from saffron and boldness from black liquorice recalling the statue’s contrasts of light and darkness.",4
32,Piazza Duomo,Alba,https://www.theworlds50best.com/the-list/piazza-duomo.html,https://www.piazzaduomoalba.it/,"What’s the food like? Enrico Crippa’s cuisine is a voyage through space and time, led by taste, colour, texture and aroma. The Seasonal Things menu features 11 courses utilising produce from Piazza Duomo’s greenhouses and organic and biodynamic gardens. The Barolo menu meanwhile celebrates the iconic wine in diners’ glasses, and on their plates. Or there’s the Journey menu with its eight multi-coloured courses expressing Chef Crippa’s culinary philosophy, seamlessly combining the flair of French cuisine with Italian passion and Japanese precision. Enjoy a taste of the Italian maestro’s food with the four-course seasonal lunch menu, available midweek from January to mid-September. Eating with the seasons: Dine at Piazza Duomo during the autumn and experience Crippa’s white truffle-focused menu. The most famous ingredient of the Langhe region, indulge in eight courses showcasing the intense flavour of the fungus. Come spring, expect peas and cuttlefish in a reduction made from its ink. Steeped in history: The dishes that land on your table have historical nods at every turn. Snails and polenta, for example, feature escargot first bred by Benedictine monks. The herbs used to feed these snails were the same monks used for their own medicines and infusions. Today, these herbs appear beside the snails.",4
33,Steirereck,Vienna,https://www.theworlds50best.com/the-list/steirereck.html,https://www.steirereck.at/,"The dining room: Much like chef Heinz Reitbauer’s cuisine, the restaurant’s interior combines the historic with the uber-contemporary. The original building dates from 1904, but the striking mirrored glass extension has walls that raise up in the summer months to create semi al-fresco dining in Vienna’s green Stadtpark. The blonde wood and concrete interior is airy, stylish and sophisticated. World-leading service: Steirereck has long been a feature at the upper end of The World’s 50 Best Restaurants list – and while that’s undoubtedly down to the chef’s vision and skill, it’s also a reflection of the outstanding and ever-evolving hospitality that is proffered, all orchestrated by doyenne of the dining room, Birgit Reitbauer. Her warmth, attention to detail and deep knowledge is reflected across the team and has created an atmosphere that attracts global gourmets as well as locals. Austria on a plate: Chef Reitbauer, who took over the family restaurant almost 20 years ago, has forged a unique culinary identity, which is heavily research-driven, sustainable and, of course, delicious. It’s also fundamentally Austrian, with numerous unknown or long-forgotten ingredients brought to the fore, including rare breeds of meat and fish and near-extinct fruit and vegetable varieties. Herbs and vegetables are grown on the building’s rooftop alongside its own beehives. Dishes on the exquisite tasting menu (there’s also an a la carte option) include pheasant with yacon, gooseberry and kale; young artichoke with bergamot, nettle and chicken velouté; and kohlrabi with oats, apple and parsley.",4
34,Enigma,Barcelona,https://www.theworlds50best.com/the-list/enigma.html,https://enigmaconcept.es/,"Attitude is everything: Albert Adrià is many things – ironic, spontaneous, humble – but most of all, the Catalan chef is highly talented. At Enigma, he has channelled all his creative energy and 35 years of experience into his most personal restaurant yet. Thanks to a determined and relentless process of evolution, Enigma has emerged as a one of the highlights of Barcelona’s gastronomic scene. Here, seasonal ingredients are imbued with the chef’s genius, subtle touch, to create delicate, beautiful and delicious dishes. The tasting menu is comprised of around 25 courses and changes regularly. Living legend: The same spirit of creative freedom that created a gastronomic revolution at El Bulli (where Adrià worked from 1985-1997 and five-time The World’s Best Restaurant in 2002, 2006, 2007, 2008 and 2009) can be found today at Enigma. Inside the fantastical space, designed by the prestigious firm RCR Arquitectes, there’s room for everything, from the simplest idea to the most elaborate dish. Here, nothing goes unquestioned and this playful challenging of fine dining’s norms allows the youngest of the Adrià brothers to treat each diner as an individual, aiming to spark curiosity and a profound personal engagement. Enigma by name, Enigma by nature: Previously, guests were asked to refrain from sharing their meals on social media, but this has since been relaxed. However, a sense of mystery still enshrouds Enigma: guests must enter a secret code (issued upon reservation) to enter the restaurant, and the menu is only provided after the last dish has been served, allowing diners to approach each plate with curiosity and with no preconceptions. This may prove daunting for some, but experienced gourmands looking for a culinary adventure will not be disappointed.",4
35,Nusara,Bangkok,https://www.theworlds50best.com/the-list/nusara.html,https://www.nusarabkk.com/,"Big name, small venue: Thitid ‘Ton’ Tassanakajohn is one of the hottest chefs in Asia. He opened Nusara in 2020 alongside his brother, Chaisiri ‘Tam’ Tassanakajohn. The restaurant honours the memory of their beloved grandmother, whom it’s also named after. The snug dining room, which can only accommodate around 10 guests, quickly became one of the most sought-after reservations in town and in 2025, the restaurant makes its debut on The World’s 50 Best Restaurants list. Culinary style: Passionate about highlighting his country’s ingredients, at his second fine-diner, Tassanakajohn draws inspiration from his family’s recipes as well as cookbooks from the royal kitchens of King Rama V, who ruled Thailand from 1868 to 1910. But with the chef’s mind firmly focused on the future, the result is a singular brand of modern Thai cuisine that blends history with innovation. It’s much like the vibrant neighbourhood it calls home, where ancient markets and famous Buddhist temples stand side-to-side with contemporary architecture on the banks of the Chao Phraya River. Notable dishes: The hyper-colourful blue swimming crab curry has become one of the restaurant’s most recognisable plates, served with crispy rice noodles. The punchy, spicy starter is the perfect introduction to a meal that majors on classic Thai flavours reimagined with extra oomph. Mains are served family-style, as is the country’s tradition, so prepare to be impressed by the variety of flavours.",4
36,Florilège,Tokyo,https://www.theworlds50best.com/the-list/florilege.html,https://www.aoyama-florilege.jp/,"Ringside seats: At Florilège, chef Hiroyasu Kawate serves his creative tasting menus of contemporary French-accented cuisine in a spacious, theatrical setting. The plush counter seating running three sides of the expansive open kitchen allows guests to watch their dishes being prepared, while also interacting directly with the front and back-of-house teams throughout the meal. Cooking in his DNA: Kawate comes from a family of chefs: as a child, he never had any doubt that he wanted to follow the same path. After working at Le Jardin des Sens in Montpellier, France, for a year, he returned to Tokyo in 2007 as sous chef at Quintessence under chef Shuzo Kishida. He opened Florilège in 2009, won two Michelin stars in 2018 and five years later, was voted by his peers as the recipient of the Inedit Damm Chefs' Choice Award 2023, as part of Asia’s 50 Best Restaurants. In the autumn of the same year, the restaurant was relocated to the ultra-modern Azabudai Hills, the tallest building in Tokyo. Sustainability on the menu: Kawate has a passion for sustainability. Wherever possible he uses locally sourced ingredients, imbuing his menus with a distinctive Japanese character. Nowadays, Kawate and his team are committed to serving less meat and seafood and more vegetables, reflected in the plant-forward tasting menus.",4
37,Orfali Bros,Dubai,https://www.theworlds50best.com/the-list/orfali-bros.html,https://orfalibros.com/,"Double top: The Orfali brothers from Aleppo, Syria, have created a genuinely unique dining experience in multi-cultural Dubai, guiding their unpretentious bistro to the top of the Middle East & North Africa’s 50 Best Restaurants ranking for three consecutive years, and now re-entering The World’s 50 Best Restaurants list in 2025. Opened in 2021, the impact of Orfali Bros during its short lifetime to date cannot be underestimated. Treble trouble: There are three brothers, all of them in the kitchen. Oldest brother Mohammad is the head chef, primary communicator and driving force in this family affair. An established TV cook and restaurant chef in the Middle East, he has taken ingredients, techniques, traditions and influences from across the world and used them to create his own take on Arabic cuisine. While Mohammad runs the savoury kitchen, two younger brothers, Wassim and Omar, hover one storey above in their own pastry world. Both are classic pâtissiers in the French mould, but with contrasting approaches, leading to a stellar selection of pastries, buns, éclairs and desserts that pepper the menu. Singular menu: Anything goes, as long as the Orfali brothers love to eat it. They mix traditional Syrian staples with pan-regional favourites, European culinary tropes with Asian ingredients to create a menu that defies categorisation. ‘Rules are meant to be bent and broken, with respect to our tradition,’ is one of team’s mantras.",4
38,Frantzén,Stockholm,https://www.theworlds50best.com/the-list/frantzen.html,https://www.restaurantfrantzen.com/,"Landmark dining destination: Frantzén was one of the first globally renowned restaurants to create a genuinely immersive setting. Guests arrive in one room and take a tour of the beautiful property while being served seriously futuristic and delicious dishes as they meander their way around the multi-storey townhouse. What’s the story? The restaurant began with humble origins as a bijou dining room in Stockholm’s old town, before closing in 2016 to relocate to larger premises. Set across three storeys of a spruced-up 19th-century building in the Norrmalm district, the restaurant reopened in 2017 and it’s been making impressive progress ever since. In the kitchen: Björn Frantzén is a former professional footballer who started out as a chef in the Swedish army before working at Chez Nico in London, Arpège in Paris and Stockholm’s Edsbacka Krog. He co-founded original iteration Frantzén/Lindeberg in 2008.",4
39,Mayta,Lima,https://www.theworlds50best.com/the-list/mayta.html,https://www.maytalima.com/,"What’s the hype? On its 10-year anniversary in 2018, Mayta moved to new premises with a revamped interior and totally redesigned menu. Since then, its star has been ascending, entering into Latin America’s 50 Best Restaurants in 2019 and making its debut on The World’s 50 Best Restaurants list in 2022. Chef Jaime Pesaque’s refined Peruvian cuisine now draws diners from all over the globe. On the menu: With its nine-course Mayta Experience tasting menu focusing on Peruvian ingredients, the restaurant serves dishes such as corn with chullpi (traditional Peruvian corn) and quinoa flower, or ribs with potatoes, cushuro (blue-green algae) and chincho (a Peruvian herb). Each plate is a work of art, with colourful produce front and centre, such as thinly sliced ‘ham’ made from paiche fish shaped into an intricate rose. There’s also an a la carte menu with options like Amazonian ceviche or muña (Andean mint) tart with passionfruit ice cream and white chocolate. Preserving Peru: With great attention to sustainability, Pesaque works regularly with paiche, an Amazonian fish that needs to be eaten to prevent the destruction of other species. During the pandemic, the chef doubled down on research, working on recovering the biodiversity of the Ica (fertile desert) region of Peru with his Yachay project.",4
40,Septime,Paris,https://www.theworlds50best.com/the-list/septime.html,https://www.septime-charonne.fr/,"Perfectly Parisian: Septime is a super-cool restaurant on an ultra-cool street run by cool people and frequented by cool customers. The food is dictated by the seasons and served without pretention. What dishes can I expect? One of the biggest charms of this neo-industrial bistro is its fair pricing: $85 for five courses at lunch and $135 for seven courses at dinner. Chef Bertrand Grébaut’s modern French food has been luring diners from around the world since the rustic restaurant’s debut more than a decade ago. Expect thoughtful, ingredient-driven plates with global touches, such as delicate plates of cepes and girolles with peppercorn sauce, or young leeks in a mussel and pimenton butter topped with wafer-thin slices of lardo. More on the chef: Graphic designer-turned-chef Bertrand Grébaut, formerly of Alain Passard’s iconic Arpège, helms the kitchen, while his school friend and former economist Théo Pourriat runs the dining room and selects the wines.Plan in advance: Due to its limited number of oversubscribed seats, booking a table at Septime is not a simple task; the restaurant accepts reservations three weeks in advance, online only.",4
41,Kadeau,Copenhagen,https://www.theworlds50best.com/the-list/kadeau.html,https://www.kadeau.dk/copenhagen/,"A force on its own: Copenhagen is full of restaurants worth travelling for. Between Noma taking the title of The World’s Best Restaurant five times and Geranium being named No.1 in 2022, Kadeau has spent more than a decade quietly refining its voice. Opened in 2011 as the Copenhagen outpost of its sister restaurant on the picture-perfect Danish island of Bornholm, the restaurant remains loyal to the New Nordic Cuisine philosophy, staying close to nature and even closer to its roots. Place with a purpose: Designed by Danish design practice OEO Studio, the intimate dining room combines Scandinavian craftsmanship and Japanese minimalism with warm, earthy tones. Oak and brass define the open kitchen, designed by chef and co-owner Nicolai Nørregaard, with the space evolving visually with each menu and time of year, from growing season in summer to preservation season in winter. Nearly every plant-based ingredient comes from Kadeau’s Bornholm garden, while the ceramics, handcrafted by local artisan Torben Lov, are tailored to each course. From Bornholm with love: The menu features a lot of elegantly balanced acidity from various fermentation and preservation techniques. Every plate tells a story of place and season: for example, an Icelandic clam with cultured cream and kohlrabi mirrors the soft pastels of its custom bowl. And a scallop wrapped in fruit leather of strawberry, rosehip and plum is brilliantly offset by black seaweed and a matte black ceramic bowl.",4
42,Belcanto,Lisbon,https://www.theworlds50best.com/the-list/belcanto.html,https://belcanto.pt/,"Origin story: A legendary Lisbon establishment that opened its doors as a men’s club in 1958, Belcanto took on a new life when chef José Avillez took the helm in 2012. In 2019, Avillez moved the restaurant to bigger and better premises – next door. Under his culinary navigation, Belcanto has progressed to become the finest in Portugal. The low-down: The intimate restaurant lies under vaulted ceilings and minimalist chandeliers, while light streams through the high windows. Belcanto’s home offers its 45 guests two tasting menus, which take diners on a gastronomic journey of contemporary Portuguese cuisine, as well as an a la carte for those who prefer the luxury of choice. Highlight dishes? Standout plates include cured and smoked red mullet with Algarve carrot and a parsley emulsion; matured beef sirloin paired with an onion tart, spinach and almond spread; and the whimsically named, The Garden of the Goose that Laid the Golden Eggs, which features egg with crunchy bread and mushrooms. A taste of the seas comes from scarlet shrimp with green curry, sprouts and apple.",4
43,Uliassi,Senigallia,https://www.theworlds50best.com/the-list/uliassi.html,https://www.uliassi.com/,"Stunning surrounds: Sitting like a pearl between the marina and the beach, Uliassi is set in a beautiful white wooden structure with an iconic summer balcony overlooking the sea. The location is home to head chef Mauro and maître d' sister Catia Uliassi, who welcome guests to this unique restaurant with open arms. Classic and contemporary: Uliassi’s cuisine is now a well-known reference for gourmets from all over the world. It manages to move seamlessly between classical and innovative plates, all at a super-premium level. This is thanks to the Uliassi Lab: a creative effort involving the entire team, which gathers to come up with new, exciting ideas during the winter months. Marrying land and sea: The uniqueness of Uliassi’s cuisine is found in the chef’s study of marine flavours and how they meet – and ‘contaminate’ – meat-based products. It’s part of a sea-land exchange typical of the Marche regional tradition. Thanks to a careful balancing act between ingredients, consistencies, techniques and temperatures, every dish manages to surprise and delight.",4
44,La Cime,Osaka,https://www.theworlds50best.com/the-list/la-cime.html,https://www.la-cime.com/,"Who, what, when, where: Located in central Osaka’s business district, Hommachi, La Cime showcases the impeccable modern French cuisine of chef Yusuke Takada. Having trained in Lyon and worked in Paris at renowned eateries Le Taillevent and Le Meurice, Takada opened La Cime as his own venture in 2010. What’s on the plate? Takada’s menu is elaborate, precise, creative, beautifully executed and unfailingly tasty. Along with premium seafood and produce from western Japan, don’t be surprised if you also find citrus and other produce that reflect his origins from subtropical Amami Oshima, a small island in the far south of the country. The signature dish, the Boudin Dog, a batter-fried morsel of boudin noir (blood sausage), coloured with edible bamboo and charcoal eaten in a single bite, cannot be missed. Dramatic dining: The walls and ceilings of the stylish and minimalist dining room are painted black, with black chairs too, accented by crisp white tablecloths and warm wooden floors.",4
45,Arpège,Paris,https://www.theworlds50best.com/the-list/arpege.html,https://www.alain-passard.com/,"Expect the unexpected: Though most restaurants of its ilk lean into all that is predictable and precise, chef Alain Passard and the team at Arpège conspire to create an experience that is anything but. Ruled by seasonality, and taking advantage of ingredients at their best, this is an off-the-cuff approach to fine dining, that sometimes even deviates from the menu. The result is a distinct, immersive and engaging experience with every visit. Elevating veg: Famously removing meat from the menu before it was popular and fondly referred to as the 'maestro' of vegetarian cuisine, Passard caused a small revolution while making non-meat eaters very happy. While some protein has since crept back into some dishes since his 2001 announcement, the stars of the menu are undoubtedly vegetables and plant-based ingredients. What’s on the plate?: Think remarkable French ingredients delivered with layered delicacy: cauliflower of three colours paired with shallots and herb sauce; white asparagus, named The Belle of the Sarthe Valley, topped with slices of kiwi and radish; and a deceptively simple yet memorable crème brûlée. The restaurant’s mostly animal-free dishes also lend themselves to adaptations to accommodate dietary requirements, which still isn’t as common as it should be in the realm of fine dining.",4
46,Rosetta,Mexico City,https://www.theworlds50best.com/the-list/rosetta.html,https://rosetta.com.mx/,"Origin story: Elena Reygadas was an English literature student before she became a chef – a profession she took an interest in by chance while working odd jobs following graduation. But after studying at the French Culinary Institute in New York and spending four seminal years working at Locanda Locatelli in London, she returned to her native Mexico City in 2010 determined to open her own restaurant. Taste of Mexico: Reygadas’ cuisine has developed and changed over the years. Having started out with a soft spot for fresh pastas and Italian-influenced recipes, her food became more Mexico-centric over time, as the chef extensively researched her country’s culinary traditions. The focus is now on re-interpreting traditional dishes in a new light. Try this taco: Reygadas’ interpretation of the ubiquitous Mexican taco comprises savoy cabbage leaves rather than a corn tortilla. The traditional sauce, pipián, is made from pistachio instead of pumpkin seeds and is accompanied by romeritos, a herb native to Mexico and often associated with Christmas festivities, rather than meat.",4
47,Vyn,Skillinge,https://www.theworlds50best.com/the-list/vyn.html,https://vynrestaurant.se/,"What makes it special: Vyn (meaning ’view’ in Swedish) is as much about the place as it is about the food of one of Sweden’s best chefs. It starts with the trip from Copenhagen or Stockholm to southern Sweden, to Daniel Berlin’s homeland of Skåne: a region of dreamy pastoral landscapes, picturesque villages and, on arrival, stunning views of the Baltic Sea. It’s a place to relax, immerse yourself in the beauty of nature, and enjoy life. About the chef: After closing his previous restaurant in September 2020 due to family reasons, the news of Daniel Berlin reopening at a different place at the end of 2023 caused a stir in the culinary world. Admired as much for his integrity and authenticity as for his exquisite skills in the kitchen, Berlin draws inspiration from the fields, forests and coastlines of Skåne – guided by a profound personal connection to the region. Nature at its core: Rooted in sustainability and local tradition, Berlin’s roughly 16-course menu reflects a nose-to-tail philosophy, built on ingredients that are foraged, grown and hunted from nearby landscapes and shores. Guided by the seasons and shaped by nature, the menu reflects the coastal setting, with warm king crab, butter-poached langoustine and local favourite Kalix löjrom (vendace roe) being frequent highlights. His hot and cold scallop, pan-fried with cold metal discs on top and served in a dill sugar kelp and caramelised apple sauce, is as simple as it is genius.",4
48,Celele,Cartagena,https://www.theworlds50best.com/the-list/celele.html,https://celelerestaurante.com/,"Meet the chef: Chef Jaime Rodríguez spent years exploring the Caribbean coast of Colombia with former restaurant partner Sebastián Pinzón, meeting Indigenous people, discovering new flavours and ingredients and documenting recipes that were in danger of being lost. This research project, called Proyecto Caribe Lab, continues to inform the restaurant’s concept today, now led by Chef Rodríguez alone. What’s the experience? Diners can choose from the a la carte menu that explores everything the Caribbean coast has to offer, accompanied by thoughtful drinks flights of regional craft beers, cocktails made with Colombian fruits, fermented spirits and wines. Around 90 per cent of the products on the menu are from the Caribbean, with 70 per cent from wild harvests. Expect to try rare ingredients like orejero (tree seeds often made into a sweet paste), guaimaro (maya nut), pomarrosa (malay apples that taste like rosewater) and jumbalee (a wild fruit). What will I eat? Dishes include Caribbean flower salad with pickled cashews and passion fruit dressing; squid and mussels with a mussel broth reduction and plantain dumplings; the signature Celele de Cerdo of confit pork terrine, preserved sweet peppers, Caribbean beans, cabbage and pork broth; or fish salpicón, with yam and coconut bechamel and local cheese crumble.",4
49,Kol,London,https://www.theworlds50best.com/the-list/kol.html,https://kolrestaurant.com/,"The chef: Born in Mexico, Santiago Lastra launched Kol in late 2020 with a vision to produce authentic Mexican food using predominantly UK ingredients. It was no little task, considering that fundamental Latin American produce such as citrus and avocado does not grow within Britain’s shores. As such, after many research trips scouring all corners of the UK, Lastra devised innovative replacements – like sea buckthorn in place of lime – giving a distinctly British nuance to his cuisine. The only products the restaurant imports are true Mexican essentials: corn for the tortillas, chocolate and native chillies. Mexico to Marylebone: Lastra spent many of his formative years as a chef in Europe, working at the likes of 50 Best heavyweight Mugaritz. However, arguably his career-defining moment came when René Redzepi asked him to set up and run Noma’s Mexico pop-up in Tulum in 2016. Such was its success, it helped Lastra find backers for his solo project, which fast became one of London’s hottest tickets in the city’s post-pandemic restaurant renaissance. What’s on the plate? On the ever-evolving tasting menu, Lastra’s signature langoustine taco has been the only mainstay since launch. The taco arrives pre-assembled and ready to roll, with the crustacea head served separately, designed to be squeezed onto the dish for added umami depth. Other seasonal highlights might include the lamb saddle with rye koji, wood sorrel on a bed of rich mulato mole.",4
50,Jan,Munich,https://www.theworlds50best.com/the-list/restaurant-jan.html,https://jan-hartwig.com/en/,"What makes it special? Jan is the first solo venture of chef Jan Hartwig, one of Germany’s most acclaimed young chefs, who redefines German haute cuisine with bold creativity, precision and soul. His tasting menus showcase technical brilliance while honouring heritage and regional ingredients in original, emotion-driven ways. Labour of love: Minimalist, calm and warmly lit, the restaurant is adorned with artworks by South German artist Stefan Strumbel and opens directly onto Hartwig’s open-plan kitchen – also known as his “laboratory of love”. It’s a space where tradition and innovation meet, and diners can witness the culinary craftsmanship of a loyal and dedicated team. Craft and confidence: Raised in the north-German region of Lower Saxony in a family with a gastronomic background, Hartwig discovered his passion for cooking early. Trained in classical French technique, he is shaping a distinct culinary voice that is German at heart and global in reach. He insists on cooking every sauce himself and mastering every detail, resulting in ever-changing menus that are confident and deeply personal.What’s on the menu? Each course reflects deep thought and meticulous execution. A tartlet of foie gras mousse with finger lime pearls and smoked maple syrup is layered with paper-thin pecan crisps – a decadent burst of texture and taste. Sea Urchin Louise with jellied oxtail, crème fraîche and chives is a delicate, yet flavour-packed homage to his young daughter. Elsewhere, trout from Schliersee, an idyllic freshwater lake near Munich, with iceberg lettuce, jalapeño, kohlrabi, horseradish, pumpernickel, dill and sauerkraut beurre blanc, evokes alpine purity.",4
51,Alcalde,Guadalajara,,https://alcalde.com.mx,Mexican cuisine with a focus on local ingredients.,4
52,Schloss Schauenstein,Fürstenau,,https://www.schauenstein.ch,Fine dining in a historic castle.,4
53,Den,Tokyo,,https://www.jimbochoden.com/en/,"Playful, modern Japanese ""Kaiseki"" with a personal touch.",4
54,El Chato,Bogotá,,https://elchato.co,Contemporary Colombian bistro.,4
55,La Colombe,Cape Town,,https://lacolombe.restaurant,Asian-influenced fine dining with French techniques.,4
56,Jordnær,Copenhagen,,https://www.restaurant-jordnaer.com,High-end seafood and Nordic flavors.,4
57,Onjium,Seoul,,http://www.onjium.org,Traditional Korean culinary research and dining.,4
58,Restaurant Tim Raue,Berlin,,https://tim-raue.com,Asian-inspired cuisine by the famous German chef.,4
59,Nobelhart & Schmutzig,Berlin,,https://www.nobelhartundschmutzig.com,"""Vocally local"" produce-driven dining.",4
60,Pujol,Mexico City,,https://pujol.com.mx,Iconic modern Mexican by Enrique Olvera.,4
61,Nuema,Quito,,https://www.nuema.ec/,Avant-garde gastronomy showcasing Ecuador's biodiversity.,4
62,Willem Hiele,Oudenburg,,https://willemhiele.be/,Terroir-driven cooking in a rural setting.,4
63,Bozar,Brussels,,https://www.bozar.be/,Refined Belgian cuisine in the Center for Fine Arts.,4
64,Fu He Hui,Shanghai,,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/fu-he-hui,High-end vegetarian Chinese cuisine.,4
65,Quique Dacosta,Dénia,,https://www.quiquedacosta.es/,Avant-garde Mediterranean cuisine.,4
66,Saint Peter,Sydney,,https://www.saintpeter.com.au/,"Josh Niland’s ""fish butchery"" and sustainable seafood.",4
67,Arca,Tulum,,https://arcatulum.com/,Open-fire cooking in the jungle.,4
68,Masque,Mumbai,,https://www.masquerestaurant.com/,Ingredient-driven modern Indian tasting menus.,4
69,Hiša Franko,Kobarid,,https://www.hisafranko.com/,Ana Roš’s world-renowned Alpine-influenced dining.,4
70,Tuju,São Paulo,,https://tuju.com.br/,Seasonal 10-course menus by Ivan Rolston.,4
71,Sazenka,Tokyo,,https://sazenka.com/,Chinese cuisine infused with Japanese sensibility.,4
72,Chef Tam's Seasons,Macau,,https://www.wynnresortsmacau.com/en/wynn-palace/dining/chef-tams-seasons,Refined Cantonese in opulent surroundings.,4
73,Tantris,Munich,,https://www.tantris.de/,A legendary institution for French haute cuisine.,4
74,Mountain,London,,https://mountainbeakstreet.com/,Wood-fired Spanish-influenced cooking in Soho.,4
75,Mil,Cusco,,https://milcentro.pe/,Virgilio Martínez’s high-altitude research center and restaurant.,4
76,Leo,Bogotá,,https://restauranteleo.com/,Leonor Espinosa’s exploration of Colombian biomes.,4
77,Le Doyenné,Saint-Vrain,,https://ledoyennerestaurant.com/,Farm-to-table dining in a restored barn.,4
78,Cocina Hermanos Torres,Barcelona,,https://cocinahermanostorres.com/,Open-kitchen spectacle by twin brothers.,4
79,Coda,Berlin,,https://coda-berlin.com/,Dessert-only fine dining concept.,4
80,SingleThread,Healdsburg,,https://www.singlethreadfarms.com/,Farm-driven Japanese-influenced dining in Sonoma.,4
81,Oteque,Rio de Janeiro,,https://www.oteque.com/,Modern seafood-focused tasting menus.,4
82,Fyn,Cape Town,,https://fynrestaurant.com/,Neoclassical Japanese-South African fusion.,4
83,A Casa do Porco,São Paulo,,https://acasadoporco.com.br/,Jefferson Rueda’s nose-to-tail pork celebration.,4
84,Aponiente,El Puerto de Santa María,,https://www.aponiente.com/,"Ángel León’s ""Chef of the Sea"" marine innovation.",4
